GeneName	Ensembl_ID	RefSeq	CCDS_ID
ARF5	ENST00000000233	NM_001662	CCDS34745
M6PR	ENST00000000412	NM_002355	CCDS8598
RALA	ENST00000005257	NM_005402	CCDS5460
DVL2	ENST00000005340	NM_004422	CCDS11091
RHBDD2	ENST00000006777	NM_001346188; NM_001346189; NM_001040456	CCDS43602
TSR3	ENST00000007390	NM_001001410	CCDS10435
NDUFAB1	ENST00000007516	NM_005003	CCDS10614
RPS20	ENST00000009589	NM_001023	CCDS6163
RANBP9	ENST00000011619	NM_005493	CCDS4529
SS18L2	ENST00000011691		CCDS2701
PPP5C	ENST00000012443	NM_006247; NM_001204284	CCDS12684
COX15	ENST00000016171	NM_001320976; NM_078470	CCDS7482
VDAC3	ENST00000022615	NM_005662	CCDS6131
RTF2	ENST00000023939	NM_001283035	CCDS63316
B4GALT7	ENST00000029410	NM_007255	CCDS4429
GABARAPL2	ENST00000037243	NM_007285	CCDS10921
MRPS10	ENST00000053468	NM_018141	CCDS4866
GRN	ENST00000053867	NM_002087	CCDS11483
VAMP3	ENST00000054666	NM_004781	CCDS88
RCN1	ENST00000054950	NM_002901	CCDS7876
FAM168A	ENST00000064778	NM_001286050	CCDS73346
CDC27	ENST00000066544	NM_001353049; NM_001293091; NM_001353035; NM_001256	CCDS11509
RPL18	ENST00000084795		
ISOC2	ENST00000085068	NM_024710	CCDS12925
EPN1	ENST00000085079	NM_013333	CCDS46200
GPKOW	ENST00000156109	NM_015698	CCDS35251
KDM4B	ENST00000159111	NM_015015	CCDS12138
FOXJ2	ENST00000162391	NM_018416	CCDS8587
GOLGA5	ENST00000163416	NM_005113	CCDS9905
PPP2R5B	ENST00000164133	NM_006244	CCDS8085
REXO1	ENST00000170168	NM_020695	CCDS32866
MKRN2	ENST00000170447	NM_014160	CCDS33702
LAPTM4A	ENST00000175091	NM_014713	CCDS1696
NDUFB4	ENST00000184266	NM_004547	CCDS2999
ERLEC1	ENST00000185150	NM_015701	CCDS1848
TMEM131	ENST00000186436	NM_015348	CCDS46368
DELE1	ENST00000194118		CCDS4268
PLOD1	ENST00000196061	NM_001316320; NM_000302	CCDS142
RPS5	ENST00000196551	NM_001009	CCDS12978
RRN3	ENST00000198767	NM_018427	CCDS10559
