chr	start	stop	arm	chr_arm	band
1	1	50000	p	1p	p36.33
1	50001	100000	p	1p	p36.33
1	100001	150000	p	1p	p36.33
1	150001	200000	p	1p	p36.33
1	200001	250000	p	1p	p36.33
1	250001	300000	p	1p	p36.33
1	300001	350000	p	1p	p36.33
1	350001	400000	p	1p	p36.33
1	400001	450000	p	1p	p36.33
1	450001	500000	p	1p	p36.33
1	500001	550000	p	1p	p36.33
1	550001	600000	p	1p	p36.33
1	600001	650000	p	1p	p36.33
1	650001	700000	p	1p	p36.33
1	700001	750000	p	1p	p36.33
1	750001	800000	p	1p	p36.33
1	800001	850000	p	1p	p36.33
1	850001	900000	p	1p	p36.33
1	900001	950000	p	1p	p36.33
1	950001	1000000	p	1p	p36.33
1	1000001	1050000	p	1p	p36.33
1	1050001	1100000	p	1p	p36.33
1	1100001	1150000	p	1p	p36.33
1	1150001	1200000	p	1p	p36.33
1	1200001	1250000	p	1p	p36.33
1	1250001	1300000	p	1p	p36.33
1	1300001	1350000	p	1p	p36.33
1	1350001	1400000	p	1p	p36.33
1	1400001	1450000	p	1p	p36.33
1	1450001	1500000	p	1p	p36.33
1	1500001	1550000	p	1p	p36.33
1	1550001	1600000	p	1p	p36.33
1	1600001	1650000	p	1p	p36.33
1	1650001	1700000	p	1p	p36.33
1	1700001	1750000	p	1p	p36.33
1	1750001	1800000	p	1p	p36.33
1	1800001	1850000	p	1p	p36.33
1	1850001	1900000	p	1p	p36.33
1	1900001	1950000	p	1p	p36.33
1	1950001	2000000	p	1p	p36.33
1	2000001	2050000	p	1p	p36.33
1	2050001	2100000	p	1p	p36.33
1	2100001	2150000	p	1p	p36.33
1	2150001	2200000	p	1p	p36.33
1	2200001	2250000	p	1p	p36.33
1	2250001	2300000	p	1p	p36.33
1	2300001	2350000	p	1p	p36.32
1	2350001	2400000	p	1p	p36.32
1	2400001	2450000	p	1p	p36.32
1	2450001	2500000	p	1p	p36.32
1	2500001	2550000	p	1p	p36.32
1	2550001	2600000	p	1p	p36.32
1	2600001	2650000	p	1p	p36.32
1	2650001	2700000	p	1p	p36.32
1	2700001	2750000	p	1p	p36.32
1	2750001	2800000	p	1p	p36.32
1	2800001	2850000	p	1p	p36.32
1	2850001	2900000	p	1p	p36.32
1	2900001	2950000	p	1p	p36.32
1	2950001	3000000	p	1p	p36.32
1	3000001	3050000	p	1p	p36.32
1	3050001	3100000	p	1p	p36.32
1	3100001	3150000	p	1p	p36.32
1	3150001	3200000	p	1p	p36.32
1	3200001	3250000	p	1p	p36.32
1	3250001	3300000	p	1p	p36.32
1	3300001	3350000	p	1p	p36.32
1	3350001	3400000	p	1p	p36.32
1	3400001	3450000	p	1p	p36.32
1	3450001	3500000	p	1p	p36.32
1	3500001	3550000	p	1p	p36.32
1	3550001	3600000	p	1p	p36.32
1	3600001	3650000	p	1p	p36.32
1	3650001	3700000	p	1p	p36.32
1	3700001	3750000	p	1p	p36.32
1	3750001	3800000	p	1p	p36.32
1	3800001	3850000	p	1p	p36.32
1	3850001	3900000	p	1p	p36.32
1	3900001	3950000	p	1p	p36.32
1	3950001	4000000	p	1p	p36.32
1	4000001	4050000	p	1p	p36.32
1	4050001	4100000	p	1p	p36.32
1	4100001	4150000	p	1p	p36.32
1	4150001	4200000	p	1p	p36.32
1	4200001	4250000	p	1p	p36.32
1	4250001	4300000	p	1p	p36.32
1	4300001	4350000	p	1p	p36.32
1	4350001	4400000	p	1p	p36.32
1	4400001	4450000	p	1p	p36.32
1	4450001	4500000	p	1p	p36.32
1	4500001	4550000	p	1p	p36.32
1	4550001	4600000	p	1p	p36.32
1	4600001	4650000	p	1p	p36.32
1	4650001	4700000	p	1p	p36.32
1	4700001	4750000	p	1p	p36.32
1	4750001	4800000	p	1p	p36.32
1	4800001	4850000	p	1p	p36.32
1	4850001	4900000	p	1p	p36.32
1	4900001	4950000	p	1p	p36.32
1	4950001	5000000	p	1p	p36.32
1	5000001	5050000	p	1p	p36.32
1	5050001	5100000	p	1p	p36.32
1	5100001	5150000	p	1p	p36.32
1	5150001	5200000	p	1p	p36.32
1	5200001	5250000	p	1p	p36.32
1	5250001	5300000	p	1p	p36.32
1	5300001	5350000	p	1p	p36.31
1	5350001	5400000	p	1p	p36.31
1	5400001	5450000	p	1p	p36.31
1	5450001	5500000	p	1p	p36.31
1	5500001	5550000	p	1p	p36.31
1	5550001	5600000	p	1p	p36.31
1	5600001	5650000	p	1p	p36.31
1	5650001	5700000	p	1p	p36.31
1	5700001	5750000	p	1p	p36.31
1	5750001	5800000	p	1p	p36.31
1	5800001	5850000	p	1p	p36.31
1	5850001	5900000	p	1p	p36.31
1	5900001	5950000	p	1p	p36.31
1	5950001	6000000	p	1p	p36.31
1	6000001	6050000	p	1p	p36.31
1	6050001	6100000	p	1p	p36.31
1	6100001	6150000	p	1p	p36.31
1	6150001	6200000	p	1p	p36.31
1	6200001	6250000	p	1p	p36.31
1	6250001	6300000	p	1p	p36.31
1	6300001	6350000	p	1p	p36.31
1	6350001	6400000	p	1p	p36.31
1	6400001	6450000	p	1p	p36.31
1	6450001	6500000	p	1p	p36.31
1	6500001	6550000	p	1p	p36.31
1	6550001	6600000	p	1p	p36.31
1	6600001	6650000	p	1p	p36.31
1	6650001	6700000	p	1p	p36.31
1	6700001	6750000	p	1p	p36.31
1	6750001	6800000	p	1p	p36.31
1	6800001	6850000	p	1p	p36.31
1	6850001	6900000	p	1p	p36.31
1	6900001	6950000	p	1p	p36.31
1	6950001	7000000	p	1p	p36.31
1	7000001	7050000	p	1p	p36.31
1	7050001	7100000	p	1p	p36.31
1	7100001	7150000	p	1p	p36.23
1	7150001	7200000	p	1p	p36.23
1	7200001	7250000	p	1p	p36.23
1	7250001	7300000	p	1p	p36.23
1	7300001	7350000	p	1p	p36.23
1	7350001	7400000	p	1p	p36.23
1	7400001	7450000	p	1p	p36.23
1	7450001	7500000	p	1p	p36.23
1	7500001	7550000	p	1p	p36.23
1	7550001	7600000	p	1p	p36.23
1	7600001	7650000	p	1p	p36.23
1	7650001	7700000	p	1p	p36.23
1	7700001	7750000	p	1p	p36.23
1	7750001	7800000	p	1p	p36.23
1	7800001	7850000	p	1p	p36.23
1	7850001	7900000	p	1p	p36.23
1	7900001	7950000	p	1p	p36.23
1	7950001	8000000	p	1p	p36.23
1	8000001	8050000	p	1p	p36.23
1	8050001	8100000	p	1p	p36.23
1	8100001	8150000	p	1p	p36.23
1	8150001	8200000	p	1p	p36.23
1	8200001	8250000	p	1p	p36.23
1	8250001	8300000	p	1p	p36.23
1	8300001	8350000	p	1p	p36.23
1	8350001	8400000	p	1p	p36.23
