GeneName	GeneID	chr	start	stop	arm	chr_arm	band
Xkr4	ENSMUSG00000051951	1	3205901	3671498	q	1q	qA1
Gm1992	ENSMUSG00000089699	1	3466587	3513553	q	1q	qA1
Gm19938	ENSMUSG00000102331	1	3647309	3658904	q	1q	qA1
Gm37381	ENSMUSG00000102343	1	3905739	3986215	q	1q	qA1
Rp1	ENSMUSG00000025900	1	3999557	4409241	q	1q	qA1
Sox17	ENSMUSG00000025902	1	4490931	4497354	q	1q	qA1
Gm37587	ENSMUSG00000104238	1	4496551	4499558	q	1q	qA1
Gm37323	ENSMUSG00000104328	1	4583129	4586252	q	1q	qA1
Mrpl15	ENSMUSG00000033845	1	4773206	4785739	q	1q	qA1
Lypla1	ENSMUSG00000025903	1	4807788	4848410	q	1q	qA1
Tcea1	ENSMUSG00000033813	1	4857814	4897909	q	1q	qA1
Rgs20	ENSMUSG00000002459	1	4909576	5070285	q	1q	qA1
Gm16041	ENSMUSG00000085623	1	4970857	4976820	q	1q	qA1
Atp6v1h	ENSMUSG00000033793	1	5070018	5162529	q	1q	qA1
Oprk1	ENSMUSG00000025905	1	5588466	5606131	q	1q	qA1
Npbwr1	ENSMUSG00000033774	1	5913707	5917398	q	1q	qA1
Rb1cc1	ENSMUSG00000025907	1	6206197	6276648	q	1q	qA1
4732440D04Rik	ENSMUSG00000090031	1	6209866	6215293	q	1q	qA1
Alkal1	ENSMUSG00000087247	1	6359218	6394731	q	1q	qA1
St18	ENSMUSG00000033740	1	6487231	6860940	q	1q	qA1
Pcmtd1	ENSMUSG00000051285	1	7088920	7173628	q	1q	qA1
Gm26901	ENSMUSG00000097797	1	7349406	7397869	q	1q	qA1
Gm30414	ENSMUSG00000103067	1	7497968	7518149	q	1q	qA1
Sntg1	ENSMUSG00000025909	1	8361475	9299878	q	1q	qend
Rrs1	ENSMUSG00000061024	1	9545408	9547455	q	1q	qA2
Adhfe1	ENSMUSG00000025911	1	9547948	9580673	q	1q	qA2
2610203C22Rik	ENSMUSG00000079671	1	9560832	9631175	q	1q	qA2
Vxn	ENSMUSG00000067879	1	9601199	9627143	q	1q	qA2
Gm29520	ENSMUSG00000099827	1	9639255	9640582	q	1q	qA2
Mybl1	ENSMUSG00000025912	1	9667415	9700209	q	1q	qA2
Vcpip1	ENSMUSG00000045210	1	9718622	9748382	q	1q	qA2
1700034P13Rik	ENSMUSG00000097893	1	9747648	9791924	q	1q	qA2
Sgk3	ENSMUSG00000025915	1	9798107	9900845	q	1q	qA2
Mcmdc2	ENSMUSG00000046101	1	9908638	9942085	q	1q	qA2
Snhg6	ENSMUSG00000098234	1	9941959	9944118	q	1q	qA2
Tcf24	ENSMUSG00000099032	1	9960163	9967932	q	1q	qA2
Ppp1r42	ENSMUSG00000025916	1	9968624	10009136	q	1q	qA2
Gm15818	ENSMUSG00000087199	1	9982387	9992366	q	1q	qA2
Cops5	ENSMUSG00000025917	1	10024601	10038168	q	1q	qA2
Cspp1	ENSMUSG00000056763	1	10037987	10136768	q	1q	qA2
Arfgef1	ENSMUSG00000067851	1	10137571	10232670	q	1q	qA2
Cpa6	ENSMUSG00000042501	1	10324720	10719945	q	1q	qA2
Prex2	ENSMUSG00000048960	1	10993465	11303681	q	1q	qA2
A830018L16Rik	ENSMUSG00000057715	1	11414105	11975901	q	1q	qA2
Gm17644	ENSMUSG00000097171	1	12667563	12673090	q	1q	qA3
Gm29663	ENSMUSG00000101314	1	12670324	12671176	q	1q	qA3
Sulf1	ENSMUSG00000016918	1	12692277	12861192	q	1q	qA3
Slco5a1	ENSMUSG00000025938	1	12866549	12992650	q	1q	qA3
Gm29283	ENSMUSG00000099498	1	13068838	13078662	q	1q	qA3
Prdm14	ENSMUSG00000042414	1	13113457	13127163	q	1q	qA3
Ncoa2	ENSMUSG00000005886	1	13139105	13374083	q	1q	qA3
Gm29570	ENSMUSG00000101476	1	13376070	13388413	q	1q	qA3
Tram1	ENSMUSG00000025935	1	13564698	13589910	q	1q	qA3
Lactb2	ENSMUSG00000025937	1	13623330	13660546	q	1q	qA3
Xkr9	ENSMUSG00000067813	1	13668771	13701723	q	1q	qA3
Eya1	ENSMUSG00000025932	1	14168954	14310235	q	1q	qA3
Gm9947	ENSMUSG00000054493	1	14752937	14776931	q	1q	qA3
Msc	ENSMUSG00000025930	1	14753346	14755992	q	1q	qA3
Trpa1	ENSMUSG00000032769	1	14872648	14918862	q	1q	qA3
Kcnb2	ENSMUSG00000092083	1	15287254	15723750	q	1q	qA3
Terf1	ENSMUSG00000025925	1	15805646	15844052	q	1q	qA3
Sbspon	ENSMUSG00000032719	1	15853862	15892722	q	1q	qA3
4930444P10Rik	ENSMUSG00000067795	1	16065979	16093325	q	1q	qA3
Rpl7	ENSMUSG00000043716	1	16101295	16104662	q	1q	qA3
Rdh10	ENSMUSG00000025921	1	16105774	16133734	q	1q	qA3
Gm28095	ENSMUSG00000100868	1	16228506	16244062	q	1q	qA3
Stau2	ENSMUSG00000025920	1	16228674	16520112	q	1q	qA3
Gm7568	ENSMUSG00000089982	1	16253592	16267921	q	1q	qA3
Ube2w	ENSMUSG00000025939	1	16540790	16619489	q	1q	qA3
Eloc	ENSMUSG00000079658	1	16641725	16657042	q	1q	qA3
D030040B21Rik	ENSMUSG00000097744	1	16657552	16662278	q	1q	qA3
Tmem70	ENSMUSG00000025940	1	16665207	16678275	q	1q	qA3
Ly96	ENSMUSG00000025779	1	16688051	16709611	q	1q	qA3
Gm28376	ENSMUSG00000101640	1	16898185	17091631	q	1q	qA3
Jph1	ENSMUSG00000042686	1	16964560	17097889	q	1q	qA3
Gm28783	ENSMUSG00000100110	1	17124747	17128956	q	1q	qA3
Gdap1	ENSMUSG00000025777	1	17145362	17164271	q	1q	qA3
Gm28784	ENSMUSG00000099899	1	17168403	17173103	q	1q	qA3
Pi15	ENSMUSG00000067780	1	17601901	17630939	q	1q	qA3
