GeneName	GeneID	chr	start	stop	arm	chr_arm	band
RP5-857K21.4	ENSG00000230021	1	536816	659930	p	1p	p36.33
NOC2L	ENSG00000188976	1	879584	894689	p	1p	p36.33
UBE2J2	ENSG00000160087	1	1189289	1209265	p	1p	p36.33
CCNL2	ENSG00000221978	1	1321091	1334708	p	1p	p36.33
MRPL20	ENSG00000242485	1	1337288	1342693	p	1p	p36.33
ANKRD65	ENSG00000235098	1	1353800	1357149	p	1p	p36.33
VWA1	ENSG00000179403	1	1370241	1378262	p	1p	p36.33
SSU72	ENSG00000160075	1	1477053	1510249	p	1p	p36.33
SLC35E2B	ENSG00000189339	1	1592939	1624167	p	1p	p36.33
GNB1	ENSG00000078369	1	1716729	1822495	p	1p	p36.33
SKI	ENSG00000157933	1	2160134	2241558	p	1p	p36.33
RER1	ENSG00000157916	1	2323267	2336883	p	1p	p36.32
PANK4	ENSG00000157881	1	2439972	2458039	p	1p	p36.32
CEP104	ENSG00000116198	1	3728645	3773778	p	1p	p36.32
RPL22	ENSG00000116251	1	6241329	6269449	p	1p	p36.31
ICMT	ENSG00000116237	1	6281253	6296032	p	1p	p36.31
ZBTB48	ENSG00000204859	1	6640061	6649340	p	1p	p36.31
THAP3	ENSG00000041988	1	6684926	6695646	p	1p	p36.31
DNAJC11	ENSG00000007923	1	6694228	6761984	p	1p	p36.31
CAMTA1	ENSG00000171735	1	6845384	7829766	p	1p	
VAMP3	ENSG00000049245	1	7831329	7841492	p	1p	p36.23
PER3	ENSG00000049246	1	7844380	7905237	p	1p	p36.23
PARK7	ENSG00000116288	1	8014351	8045565	p	1p	p36.23
RERE	ENSG00000142599	1	8412457	8877702	p	1p	p36.23
ENO1	ENSG00000074800	1	8921061	8939308	p	1p	p36.23
SLC2A5	ENSG00000142583	1	9095166	9148537	p	1p	p36.23
H6PD	ENSG00000049239	1	9294834	9331396	p	1p	p36.22
SLC25A33	ENSG00000171612	1	9599541	9645237	p	1p	p36.22
UBE4B	ENSG00000130939	1	10092890	10241297	p	1p	p36.22
KIF1B	ENSG00000054523	1	10270863	10441661	p	1p	p36.22
PGD	ENSG00000142657	1	10458649	10480201	p	1p	p36.22
TARDBP	ENSG00000120948	1	11072414	11085796	p	1p	p36.22
EXOSC10	ENSG00000171824	1	11126675	11159938	p	1p	p36.22
UBIAD1	ENSG00000120942	1	11333263	11356106	p	1p	p36.22
FBXO44	ENSG00000132879	1	11714432	11723384	p	1p	p36.22
AGTRAP	ENSG00000177674	1	11796141	11814859	p	1p	p36.22
MTHFR	ENSG00000177000	1	11845780	11866977	p	1p	p36.22
CLCN6	ENSG00000011021	1	11866207	11903201	p	1p	p36.22
MFN2	ENSG00000116688	1	12040238	12073571	p	1p	p36.22
VPS13D	ENSG00000048707	1	12290124	12572099	p	1p	p36.22
DHRS3	ENSG00000162496	1	12627939	12677737	p	1p	p36.22
PDPN	ENSG00000162493	1	13909960	13944452	p	1p	p36.21
PRDM2	ENSG00000116731	1	14026693	14151574	p	1p	p36.21
SPEN	ENSG00000065526	1	16174359	16266955	p	1p	
FBXO42	ENSG00000037637	1	16573334	16678949	p	1p	p36.13
SZRD1	ENSG00000055070	1	16679070	16724640	p	1p	p36.13
NECAP2	ENSG00000157191	1	16767167	16786573	p	1p	p36.13
SDHB	ENSG00000117118	1	17345217	17380665	p	1p	p36.13
PADI2	ENSG00000117115	1	17393256	17445948	p	1p	p36.13
RCC2	ENSG00000179051	1	17733256	17766220	p	1p	p36.13
ARHGEF10L	ENSG00000074964	1	17866330	18024369	p	1p	p36.13
CAPZB	ENSG00000077549	1	19665267	19812066	p	1p	p36.13
MINOS1-NBL1	ENSG00000270136	1	19923473	19984549	p	1p	p36.13
MINOS1	ENSG00000173436	1	19923477	19956314	p	1p	p36.13
LINC01141	ENSG00000236963	1	20687072	20757727	p	1p	p36.12
CAMK2N1	ENSG00000162545	1	20808884	20812713	p	1p	p36.12
DDOST	ENSG00000244038	1	20978270	20988000	p	1p	p36.12
HP1BP3	ENSG00000127483	1	21069154	21113816	p	1p	p36.12
RP5-930J4.4	ENSG00000203394	1	21069480	21070455	p	1p	p36.12
EIF4G3	ENSG00000075151	1	21132963	21503377	p	1p	p36.12
USP48	ENSG00000090686	1	22004791	22110099	p	1p	p36.12
CDC42	ENSG00000070831	1	22379120	22419437	p	1p	p36.12
ZBTB40	ENSG00000184677	1	22778344	22857650	p	1p	p36.12
EPHB2	ENSG00000133216	1	23037332	23241818	p	1p	p36.12
LUZP1	ENSG00000169641	1	23410516	23504301	p	1p	p36.12
HNRNPR	ENSG00000125944	1	23630264	23670829	p	1p	p36.12
RPL11	ENSG00000142676	1	24018269	24022915	p	1p	p36.11
TCEB3	ENSG00000011007	1	24069645	24088549	p	1p	p36.11
PITHD1	ENSG00000057757	1	24104895	24114722	p	1p	p36.11
LYPLA2	ENSG00000011009	1	24117460	24122029	p	1p	p36.11
FUCA1	ENSG00000179163	1	24171567	24194784	p	1p	p36.11
NIPAL3	ENSG00000001461	1	24742284	24799466	p	1p	p36.11
SRRM1	ENSG00000133226	1	24958207	24999758	p	1p	p36.11
CLIC4	ENSG00000169504	1	25071848	25170815	p	1p	p36.11
SYF2	ENSG00000117614	1	25549170	25558993	p	1p	p36.11
C1orf63	ENSG00000117616	1	25568728	25664704	p	1p	p36.11
TMEM50A	ENSG00000183726	1	25664408	25688852	p	1p	p36.11
MTFR1L	ENSG00000117640	1	26145131	26159432	p	1p	p36.11
AUNIP	ENSG00000127423	1	26158414	26185903	p	1p	p36.11
RP1-125I3.2	ENSG00000236528	1	26186104	26189911	p	1p	p36.11
PAQR7	ENSG00000182749	1	26187701	26197744	p	1p	p36.11
STMN1	ENSG00000117632	1	26210672	26233482	p	1p	p36.11
SH3BGRL3	ENSG00000142669	1	26605667	26608007	p	1p	p36.11
UBXN11	ENSG00000158062	1	26607819	26644854	p	1p	p36.11
HMGN2	ENSG00000198830	1	26798941	26802463	p	1p	p36.11
RPS6KA1	ENSG00000117676	1	26856252	26901521	p	1p	p36.11
WASF2	ENSG00000158195	1	27730730	27816669	p	1p	p36.11
IFI6	ENSG00000126709	1	27992572	27998729	p	1p	p36.11
STX12	ENSG00000117758	1	28099694	28150963	p	1p	p35.3
RPA2	ENSG00000117748	1	28218035	28241257	p	1p	p35.3
EYA3	ENSG00000158161	1	28296855	28415207	p	1p	p35.3
PTAFR	ENSG00000169403	1	28473677	28520447	p	1p	p35.3
PHACTR4	ENSG00000204138	1	28696114	28826881	p	1p	p35.3
TAF12	ENSG00000120656	1	28915835	28969597	p	1p	p35.3
YTHDF2	ENSG00000198492	1	29063133	29096287	p	1p	p35.3
PTPRU	ENSG00000060656	1	29563028	29653325	p	1p	p35.3
SDC3	ENSG00000162512	1	31342314	31381608	p	1p	p35.2
PUM1	ENSG00000134644	1	31404353	31538838	p	1p	p35.2
FABP3	ENSG00000121769	1	31838472	31849697	p	1p	p35.2
HCRTR1	ENSG00000121764	1	32083287	32098119	p	1p	p35.2
PEF1	ENSG00000162517	1	32095463	32110497	p	1p	p35.2
RP11-84A19.4	ENSG00000269967	1	32317514	32387442	p	1p	p35.2
PTP4A2	ENSG00000184007	1	32372022	32410457	p	1p	
KHDRBS1	ENSG00000121774	1	32479430	32526451	p	1p	p35.1
TMEM39B	ENSG00000121775	1	32537632	32568467	p	1p	p35.1
KPNA6	ENSG00000025800	1	32573639	32642169	p	1p	p35.1
TXLNA	ENSG00000084652	1	32645287	32663886	p	1p	p35.1
EIF3I	ENSG00000084623	1	32687529	32697205	p	1p	p35.1
HDAC1	ENSG00000116478	1	32757687	32799236	p	1p	p35.1
BSDC1	ENSG00000160058	1	32830704	32860332	p	1p	p35.1
RBBP4	ENSG00000162521	1	33116743	33151812	p	1p	p35.1
SYNC	ENSG00000162520	1	33145507	33169197	p	1p	p35.1
YARS	ENSG00000134684	1	33240840	33283754	p	1p	p35.1
ADC	ENSG00000142920	1	33546705	33586131	p	1p	p35.1
ZNF362	ENSG00000160094	1	33722146	33766320	p	1p	p35.1
PHC2	ENSG00000134686	1	33789224	33896653	p	1p	p35.1
CSMD2	ENSG00000121904	1	33979609	34631443	p	1p	
SMIM12	ENSG00000163866	1	35178338	35325417	p	1p	p34.3
RP11-244H3.4	ENSG00000271741	1	35447134	35497342	p	1p	p34.3
ZMYM6NB	ENSG00000243749	1	35447136	35450954	p	1p	p34.3
SFPQ	ENSG00000116560	1	35641979	35658749	p	1p	p34.3
ZMYM4	ENSG00000146463	1	35734568	35887659	p	1p	p34.3
NCDN	ENSG00000020129	1	36023074	36032875	p	1p	p34.3
PSMB2	ENSG00000126067	1	36067185	36107445	p	1p	p34.3
C1orf216	ENSG00000142686	1	36179476	36185073	p	1p	p34.3
AGO3	ENSG00000126070	1	36396319	36538101	p	1p	p34.3
THRAP3	ENSG00000054118	1	36690017	36770958	p	1p	p34.3
STK40	ENSG00000196182	1	36805225	36851497	p	1p	p34.3
LSM10	ENSG00000181817	1	36856839	36863493	p	1p	p34.3
MEAF6	ENSG00000163875	1	37958176	37980375	p	1p	p34.3
C1orf122	ENSG00000197982	1	38272651	38275126	p	1p	p34.3
MTF1	ENSG00000188786	1	38275239	38325292	p	1p	p34.3
RP5-864K19.4	ENSG00000228436	1	39325672	39385068	p	1p	p34.3
MYCBP	ENSG00000214114	1	39328636	39347289	p	1p	p34.3
GJA9	ENSG00000131233	1	39330175	39347289	p	1p	p34.3
