GeneName	GeneID	chr	start	stop	arm	chr_arm	band
MIR1302-2HG	ENSG00000243485	1	29554	31109	p	1p	p36.33
FAM138A	ENSG00000237613	1	34554	36081	p	1p	p36.33
OR4F5	ENSG00000186092	1	65419	71585	p	1p	p36.33
AL627309.1	ENSG00000238009	1	89295	133723	p	1p	p36.33
AL627309.3	ENSG00000239945	1	89551	91105	p	1p	p36.33
AL627309.2	ENSG00000239906	1	139790	140339	p	1p	p36.33
AL627309.4	ENSG00000241599	1	160446	161525	p	1p	p36.33
AL732372.1	ENSG00000236601	1	358857	366052	p	1p	p36.33
OR4F29	ENSG00000284733	1	450703	451697	p	1p	p36.33
AC114498.1	ENSG00000235146	1	587629	594768	p	1p	p36.33
OR4F16	ENSG00000284662	1	685679	686673	p	1p	p36.33
AL669831.2	ENSG00000229905	1	760911	761989	p	1p	p36.33
AL669831.5	ENSG00000237491	1	778770	810060	p	1p	p36.33
FAM87B	ENSG00000177757	1	817371	819837	p	1p	p36.33
LINC00115	ENSG00000225880	1	826206	827522	p	1p	p36.33
FAM41C	ENSG00000230368	1	868071	876903	p	1p	p36.33
AL645608.7	ENSG00000272438	1	904834	915976	p	1p	p36.33
AL645608.3	ENSG00000230699	1	911435	914948	p	1p	p36.33
AL645608.5	ENSG00000241180	1	914171	914971	p	1p	p36.33
AL645608.1	ENSG00000223764	1	916865	921016	p	1p	p36.33
SAMD11	ENSG00000187634	1	923928	944581	p	1p	p36.33
NOC2L	ENSG00000188976	1	944204	959309	p	1p	p36.33
KLHL17	ENSG00000187961	1	960587	965715	p	1p	p36.33
PLEKHN1	ENSG00000187583	1	966497	975865	p	1p	p36.33
PERM1	ENSG00000187642	1	975204	982093	p	1p	p36.33
AL645608.8	ENSG00000272512	1	995966	998051	p	1p	p36.33
HES4	ENSG00000188290	1	998962	1000172	p	1p	p36.33
ISG15	ENSG00000187608	1	1001138	1014541	p	1p	p36.33
AL645608.2	ENSG00000224969	1	1011997	1013193	p	1p	p36.33
AGRN	ENSG00000188157	1	1020123	1056118	p	1p	p36.33
